sender_account,receiver_account,amount,timestamp,transaction_type,is_suspicious
A327,A57,938.54,2023-01-10 02:32:00,DebitCard,0
A71,A377,6020.24,2023-02-07 07:36:00,CashDeposit,0
A216,A16,2633.49,2023-01-11 20:22:00,ACH,0
A258,A308,1825.89,2023-01-10 15:52:00,CashDeposit,0
A332,A359,339.25,2023-07-18 09:46:00,Wire,0
A301,A142,339.19,2023-10-22 16:54:00,ACH,0
A81,A357,119.68,2023-06-03 20:51:00,DebitCard,0
A110,A490,4022.46,2023-10-05 23:30:00,DebitCard,0
A194,A49,1838.16,2023-05-11 16:48:00,DebitCard,0
A413,A22,2462.5,2023-09-23 16:29:00,Wire,0
A498,A472,41.6,2023-05-18 19:41:00,ACH,0
A424,A321,7007.11,2023-08-14 04:42:00,DebitCard,0
A360,A35,3572.86,2023-01-17 16:25:00,CreditCard,0
A40,A437,477.38,2023-03-26 18:09:00,ACH,0
A232,A325,401.36,2023-10-31 16:34:00,DebitCard,0
A181,A107,405.22,2023-09-02 00:04:00,DebitCard,0
A349,A331,725.51,2023-01-26 23:55:00,CashDeposit,0
A273,A373,1487.86,2023-03-31 03:11:00,CreditCard,0
A138,A473,1131.07,2023-08-22 00:24:00,CashDeposit,0
A166,A431,688.45,2023-10-07 17:37:00,ACH,0
A16,A412,1892.74,2023-04-25 20:28:00,Wire,0
A108,A467,300.47,2023-12-10 07:16:00,CashDeposit,0
A161,A108,691.03,2023-08-27 15:18:00,Wire,0
A468,A329,912.55,2023-06-17 01:30:00,CreditCard,0
A126,A381,1217.87,2023-07-24 09:18:00,CashDeposit,0
A299,A219,3075.87,2023-11-23 21:17:00,CashDeposit,0
A112,A70,445.47,2023-07-05 12:18:00,Wire,0
A24,A440,1444.06,2023-02-09 22:07:00,CreditCard,0
A405,A348,1795.01,2023-06-03 16:53:00,CashDeposit,0
A195,A305,95.13,2023-06-20 09:52:00,CashDeposit,0
A283,A440,1870.67,2023-12-10 03:05:00,ACH,0
A58,A349,373.92,2023-11-19 03:23:00,CashDeposit,0
A393,A328,134.53,2023-05-04 20:29:00,ACH,0
A80,A232,5947.38,2023-01-02 04:21:00,DebitCard,0
A390,A91,6741.26,2023-07-04 20:11:00,ACH,0
A152,A430,3304.66,2023-08-21 15:13:00,CashDeposit,0
A78,A191,726.58,2023-10-05 14:55:00,CreditCard,0
A398,A472,205.55,2023-07-13 02:18:00,ACH,0
A250,A9,2305.5,2023-02-10 17:30:00,DebitCard,0
A425,A413,1160.18,2023-04-22 23:05:00,CreditCard,0
A449,A290,260.3,2023-12-11 18:34:00,ACH,0
A248,A417,1367.09,2023-01-26 04:47:00,CashDeposit,0
A65,A337,69.99,2023-06-23 01:04:00,CashDeposit,0
A270,A446,4800.85,2023-08-09 20:29:00,Wire,0
A475,A276,598.92,2023-10-02 23:36:00,CreditCard,0
A204,A343,2172.51,2023-08-25 14:43:00,DebitCard,0
A264,A231,747.09,2023-02-14 01:21:00,CreditCard,0
A173,A10,1468.22,2023-08-03 04:43:00,CashDeposit,0
A112,A3,1582.45,2023-01-26 20:20:00,ACH,0
A463,A16,408.78,2023-11-09 23:36:00,DebitCard,0
A121,A142,6985.61,2023-09-01 13:37:00,Wire,0
A67,A370,2984.49,2023-12-07 14:38:00,CashDeposit,0
A124,A401,5610.19,2023-06-22 04:54:00,Wire,0
A49,A337,4504.3,2023-06-06 22:34:00,DebitCard,0
A239,A442,1822.11,2023-09-23 10:45:00,ACH,0
A330,A50,5098.87,2023-01-23 01:38:00,Wire,0
A409,A441,185.31,2023-02-09 18:48:00,CreditCard,0
A274,A229,436.27,2023-02-21 00:55:00,Wire,0
A236,A127,92.56,2023-11-15 09:22:00,ACH,0
A441,A438,787.06,2023-07-20 08:48:00,ACH,0
A276,A428,984.26,2023-01-06 08:57:00,ACH,0
A434,A121,633.12,2023-03-02 13:14:00,Wire,0
A109,A442,3529.12,2023-05-27 00:20:00,ACH,0
A1,A199,882.45,2023-04-07 13:22:00,Wire,0
A356,A490,659.61,2023-09-23 23:15:00,CashDeposit,0
A249,A79,1564.81,2023-03-11 03:21:00,DebitCard,0
A29,A296,303.8,2023-09-25 20:58:00,CashDeposit,0
A160,A29,3240.97,2023-01-19 06:09:00,CashDeposit,0
A470,A436,154.95,2023-07-13 09:03:00,CreditCard,0
A260,A41,8668.29,2023-11-06 23:08:00,CreditCard,0
A34,A345,2958.97,2023-11-10 18:41:00,CreditCard,0
A482,A455,443.08,2023-07-27 09:53:00,CreditCard,0
A20,A317,11.07,2023-01-30 20:22:00,Wire,0
A289,A267,3379.79,2023-04-26 04:28:00,DebitCard,0
A366,A160,2454.19,2023-03-28 21:40:00,DebitCard,0
A343,A330,2611.33,2023-04-20 05:24:00,Wire,0
A384,A479,2950.43,2023-01-27 09:53:00,ACH,0
A288,A51,153.86,2023-01-27 16:09:00,CashDeposit,0
A135,A67,887.79,2023-12-06 18:56:00,DebitCard,0
A450,A125,246.3,2023-05-15 12:58:00,DebitCard,0
A426,A278,3977.06,2023-09-14 03:37:00,DebitCard,0
A413,A334,1952.6,2023-07-12 13:57:00,ACH,0
A283,A153,803.64,2023-12-06 05:48:00,ACH,0
A68,A135,131.34,2023-02-12 00:37:00,ACH,0
A79,A139,744.98,2023-04-13 14:01:00,CashDeposit,0
A175,A104,786.63,2023-09-08 07:26:00,DebitCard,0
A128,A463,2615.75,2023-11-27 15:36:00,ACH,0
A216,A424,2029.78,2023-04-11 17:40:00,ACH,1
A394,A66,4364.5,2023-08-20 23:10:00,DebitCard,0
A226,A282,1278.13,2023-09-14 22:12:00,Wire,0
A57,A38,254.74,2023-12-11 01:58:00,CreditCard,0
A427,A189,2498.25,2023-08-01 02:02:00,CashDeposit,0
A65,A21,2860.79,2023-04-23 05:36:00,DebitCard,0
A407,A497,1647.77,2023-11-10 08:56:00,ACH,0
A107,A349,2947.78,2023-04-01 20:25:00,ACH,0
A286,A452,1361.63,2023-11-15 11:21:00,Wire,0
A383,A79,1479.36,2023-12-04 01:26:00,CreditCard,0
A499,A409,1115.63,2023-10-23 04:37:00,CreditCard,0
A12,A91,51.5,2023-09-26 04:11:00,DebitCard,0
A210,A410,228.33,2023-09-01 21:44:00,CreditCard,0
A403,A359,63.87,2023-02-09 08:33:00,Wire,0
A439,A240,2023.46,2023-03-22 23:39:00,CreditCard,0
A235,A179,754.79,2023-04-22 02:47:00,CreditCard,0
A337,A98,1420.87,2023-05-26 01:50:00,DebitCard,0
A35,A495,4762.53,2023-10-09 13:25:00,DebitCard,0
A260,A204,573.48,2023-09-05 09:43:00,CashDeposit,0
A14,A59,1056.56,2023-11-16 07:40:00,DebitCard,0
A492,A135,2817.5,2023-01-14 22:17:00,ACH,0
A176,A373,519.61,2023-10-14 07:54:00,DebitCard,0
A261,A59,160.21,2023-05-21 05:53:00,CashDeposit,0
A22,A362,684.28,2023-06-08 18:19:00,ACH,0
A412,A275,351.62,2023-09-08 01:50:00,CreditCard,0
A35,A485,5309.9,2023-08-30 20:11:00,DebitCard,0
A339,A434,3301.77,2023-02-15 08:59:00,DebitCard,0
A341,A209,2006.99,2023-04-29 18:13:00,Wire,0
A283,A65,4103.04,2023-03-11 20:19:00,Wire,0
A194,A346,3255.94,2023-09-30 09:17:00,CreditCard,0
A154,A207,412.99,2023-07-19 11:56:00,ACH,0
A107,A220,4461.63,2023-10-14 02:03:00,CashDeposit,0
A164,A238,1550.2,2023-06-10 20:23:00,Wire,0
A261,A242,3294.7,2023-10-16 23:45:00,CreditCard,0
A145,A263,4528.49,2023-08-30 16:50:00,CashDeposit,0
A419,A487,765.46,2023-10-01 11:32:00,CreditCard,0
A115,A412,233.18,2023-03-14 12:01:00,CreditCard,1
A125,A243,517.37,2023-08-11 13:23:00,ACH,0
A453,A322,1114.12,2023-07-29 14:17:00,CreditCard,0
A196,A253,3407.66,2023-05-26 12:13:00,CreditCard,0
A352,A2,3942.69,2023-11-22 00:10:00,ACH,0
A112,A90,13.95,2023-10-20 18:25:00,CashDeposit,0
A285,A127,1429.75,2023-12-01 00:58:00,ACH,0
A410,A237,1080.55,2023-09-01 01:22:00,CashDeposit,0
A304,A162,502.33,2023-12-12 21:34:00,Wire,0
A368,A456,255.36,2023-07-03 18:49:00,Wire,0
A280,A228,823.82,2023-11-23 15:55:00,CreditCard,0
A243,A230,5726.24,2023-04-05 08:51:00,CreditCard,0
